| Conversão | `-` | `0` | `#` | `+` | espaço | precision | width |
| --------- | --: | --: | --: | --: | -----: | --------: | ----: |
| `%c`      | ✅  | ✅  | ❌  | ❌  |   ❌   |     ❌    |   ✅  |
| `%s`      | ✅  | ❌  | ❌  | ❌  |   ❌   |     ✅    |   ✅  |
| `%p`      | ✅  | ✅  | ❌  | ❌  |   ❌   |     ❌    |   ✅  |
| `%d`      | ✅  | ✅  | ❌  | ✅  |   ✅   |     ✅    |   ✅  |
| `%i`      | ✅  | ✅  | ❌  | ✅  |   ✅   |     ✅    |   ✅  |
| `%u`      | ✅  | ✅  | ❌  | ❌  |   ❌   |     ✅    |   ✅  |
| `%x`      | ✅  | ✅  | ✅  | ❌  |   ❌   |     ✅    |   ✅  |
| `%X`      | ✅  | ✅  | ✅  | ❌  |   ❌   |     ✅    |   ✅  |
| `%o`      | ✅  | ✅  | ✅  | ❌  |   ❌   |     ✅    |   ✅  |
| `%%`      | ❌  | ❌  | ❌  | ❌  |   ❌   |     ❌    |   ✅  |
